Interval,Voltage at 10Khz S.R (AI1) (Exp 1),Voltage Values(AI2)
0.0,-0.14984359502555886,0.44159609369039443
0.4144754409790039,-0.06164644846265355,0.5453574425879301
0.7291648387908936,0.08636606393530175,0.4773022049286641
1.0136561393737793,0.046387426565957124,0.6323338673990997
1.263620376586914,0.21850919356069276,0.6176852063782712
1.5182359218597412,0.05432211795223926,0.6817730983443961
1.8036394119262695,0.24567025253681238,0.6082246128023193
2.1046876907348633,0.1544213015945678,0.48889906157015334
2.3727517127990723,0.12085145342183566,0.6240939955748837
2.6247270107269287,0.16815442130159458,0.5947966735332265
2.9410359859466553,0.4507515068284123,0.7086289768825819
3.2237634658813477,0.22034027618829632,0.6063935301747158
3.508068323135376,0.2178988326848249,0.7486076142519265
3.8408279418945312,0.40497444113832304,0.8364995803768979
4.1408233642578125,0.4565499351491569,0.8773937590600442
4.408266544342041,0.3561455710688945,0.9240863660639353
4.70886754989624,0.47180895704585335,0.8609140154116122
5.007341623306274,0.383916990920882,0.9674219882505531
5.258169889450073,0.6320286869611658,1.0559243152513924
5.512631177902222,0.5835049973296712,0.9353780422674907
5.750831127166748,0.720531013962005,1.0925459678034637
6.06830096244812,0.7745479514763104,1.1822690165560388
6.33960747718811,0.6799420157167926,0.9768825818265049
6.606189250946045,0.6869611657892729,1.0342565041580836
6.876025438308716,0.8371099412527657,1.0562294956893263
7.143630027770996,0.8422980086976425,1.2762645914396886
7.4262871742248535,0.9375143053330282,1.352559700923171
7.710828542709351,0.8520637827115282,1.1996643015182726
7.997328519821167,0.7785152971694514,1.2005798428320744
8.28366994857788,0.980544747081712,1.1480888075074387
8.503481149673462,0.8712901503013657,1.198138399328603
8.7715482711792,0.9915312428473335,1.2164492256046386
9.072745084762573,0.8209353780422675,1.5045395590142672
9.3097403049469,0.9308003356984818,1.3400473029678797
9.548313617706299,1.0543984130617228,1.4944686045624476
9.801233768463135,1.1590753032730603,1.5341420614938583
