Interval,Voltage at 10Khz S.R (AI1) (Exp 1),Voltage Values(AI2)
0.0,-0.14984359502555886,0.44159609369039443
0.31396055221557617,-0.06164644846265355,0.5453574425879301
0.6803102493286133,0.08636606393530175,0.4773022049286641
0.9646759033203125,0.046387426565957124,0.6323338673990997
1.2031605243682861,0.21850919356069276,0.6176852063782712
1.4405136108398438,0.05432211795223926,0.6817730983443961
1.6940371990203857,0.24567025253681238,0.6082246128023193
1.9635672569274902,0.1544213015945678,0.48889906157015334
2.249804735183716,0.12085145342183566,0.6240939955748837
2.5031259059906006,0.16815442130159458,0.5947966735332265
2.7557079792022705,0.4507515068284123,0.7086289768825819
3.010220527648926,0.22034027618829632,0.6063935301747158
3.296663761138916,0.2178988326848249,0.7486076142519265
3.6428990364074707,0.40497444113832304,0.8364995803768979
3.9125983715057373,0.4565499351491569,0.8773937590600442
4.2314019203186035,0.3561455710688945,0.9240863660639353
4.469937801361084,0.47180895704585335,0.8609140154116122
4.705506801605225,0.383916990920882,0.9674219882505531
4.926887512207031,0.6320286869611658,1.0559243152513924
5.164617538452148,0.5835049973296712,0.9353780422674907
5.417905569076538,0.720531013962005,1.0925459678034637
5.672255277633667,0.7745479514763104,1.1822690165560388
5.911247968673706,0.6799420157167926,0.9768825818265049
6.164720058441162,0.6869611657892729,1.0342565041580836
6.497141122817993,0.8371099412527657,1.0562294956893263
6.749298572540283,0.8422980086976425,1.2762645914396886
7.003635406494141,0.9375143053330282,1.352559700923171
7.258962869644165,0.8520637827115282,1.1996643015182726
7.513713121414185,0.7785152971694514,1.2005798428320744
7.768469333648682,0.980544747081712,1.1480888075074387
8.070448398590088,0.8712901503013657,1.198138399328603
8.356148481369019,0.9915312428473335,1.2164492256046386
8.578554630279541,0.8209353780422675,1.5045395590142672
8.801735162734985,0.9308003356984818,1.3400473029678797
9.025144577026367,1.0543984130617228,1.4944686045624476
9.312376976013184,1.1590753032730603,1.5341420614938583
9.535781621932983,1.083085374227512,1.4068818188754102
9.79048752784729,1.1902037079423209,1.5149156939040207
